,min_x,max_x,min_y,max_y,width,height
count,1.0,1.0,1.0,1.0,1.0,1.0
mean,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
std,,,,,,
min,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
25%,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
50%,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
75%,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
max,33.15391472463679,56.8989549277813,18.449063675160183,46.39388859703956,23.745040203144505,27.94482492187937
