,brain_section_label,brain_section_barcode
count,5431560,5431560.0
unique,95,
top,H22.30.001.CX.19.03.07.01,
freq,105485,
mean,,1325569872.055579
std,,24533599.576211203
min,,1304618482.0
25%,,1308461491.0
50%,,1322691967.0
75%,,1326499925.0
max,,1426549599.0
