,cell_label,slab_plane_label,x_slab_mm,y_slab_mm
count,3255402,3255402,3255402.0,3255402.0
unique,3255402,28,,
top,1291813781_1-20250227,QM23.50.001.CX.44.Plane.05,,
freq,1,286983,,
mean,,,45.49481926487434,29.73301771066361
std,,,4.398116384704232,4.280234302688786
min,,,34.845740142536805,21.14781247204895
25%,,,42.122529320609786,26.293237592438
50%,,,45.36837140163023,29.503960309102133
75%,,,48.98287592305935,32.80843012944963
max,,,55.92645497773632,41.48813846178607
