,Unnamed: 0,Acinonyx_jubatus,Acomys_cahirinus,Ailuropoda_melanoleuca,Ailurus_fulgens,Allactaga_bullata,Allenopithecus_nigroviridis,Allochrocebus_lhoesti,Allochrocebus_preussi,Allochrocebus_solatus,Alouatta_belzebul,Alouatta_caraya,Alouatta_discolor,Alouatta_juara,Alouatta_macconnelli,Alouatta_nigerrima,Alouatta_palliata,Alouatta_puruensis,Alouatta_seniculus,Ammotragus_lervia,Anoura_caudifer,Antilocapra_americana,Aotus_azarae,Aotus_griseimembra,Aotus_nancymaae,Aotus_trivirgatus,Aotus_vociferans,Aplodontia_rufa,Arctocebus_calabarensis,Artibeus_jamaicensis,Ateles_belzebuth,Ateles_chamek,Ateles_geoffroyi_a,Ateles_geoffroyi_b,Ateles_marginatus,Ateles_paniscus,Avahi_laniger,Avahi_peyrierasi,Balaenoptera_acutorostrata,Balaenoptera_bonaerensis,Beatragus_hunteri,Bison_bison,Bos_indicus,Bos_mutus,Bos_taurus,Bubalus_bubalis,Cacajao_ayresi,Cacajao_calvus,Cacajao_hosomi,Cacajao_melanocephalus,Callibella_humilis,Callimico_goeldii,Callithrix_geoffroyi,Callithrix_jacchus,Callithrix_kuhlii,Camelus_bactrianus,Camelus_dromedarius,Camelus_ferus,CanFam4,Canis_lupus_VD,Canis_lupus_dingo,Canis_lupus_familiaris,Canis_lupus_orion,Capra_aegagrus,Capra_hircus,Capromys_pilorides,Carlito_syrichta,Carollia_perspicillata,Castor_canadensis,Catagonus_wagneri,Cavia_aperea,Cavia_porcellus,Cavia_tschudii,Cebuella_niveiventris,Cebuella_pygmaea,Cebus_albifrons,Cebus_olivaceus,Cebus_unicolor,Cephalopachus_bancanus,Ceratotherium_simum,Ceratotherium_simum_cottoni,Cercocebus_atys,Cercocebus_chrysogaster,Cercocebus_lunulatus,Cercocebus_torquatus,Cercopithecus_albogularis,Cercopithecus_ascanius,Cercopithecus_cephus,Cercopithecus_diana,Cercopithecus_hamlyni,Cercopithecus_lowei,Cercopithecus_mona,Cercopithecus_neglectus,Cercopithecus_nictitans,Cercopithecus_petaurista,Cercopithecus_pogonias,Cercopithecus_roloway,Chaetophractus_vellerosus,Cheirogaleus_major,Cheirogaleus_medius,Cheracebus_lucifer,Cheracebus_lugens,Cheracebus_regulus,Cheracebus_torquatus,Chinchilla_lanigera,Chiropotes_albinasus,Chiropotes_israelita,Chiropotes_sagulatus,Chlorocebus_aethiops,Chlorocebus_pygerythrus,Chlorocebus_sabaeus,Choloepus_didactylus,Choloepus_hoffmanni,Chrysochloris_asiatica,Colobus_angolensis,Colobus_guereza,Colobus_polykomos,Condylura_cristata,Craseonycteris_thonglongyai,Cricetomys_gambianus,Cricetulus_griseus,Crocidura_indochinensis,Cryptoprocta_ferox,Ctenodactylus_gundi,Ctenomys_sociabilis,Cuniculus_paca,Dasyprocta_punctata,Dasypus_novemcinctus,Daubentonia_madagascariensis,Delphinapterus_leucas,Desmodus_rotundus,Dicerorhinus_sumatrensis,Diceros_bicornis,Dinomys_branickii,Dipodomys_ordii,Dipodomys_stephensi,Dolichotis_patagonum,Echinops_telfairi,Eidolon_helvum,Elaphurus_davidianus,Elephantulus_edwardii,Ellobius_lutescens,Ellobius_talpinus,Enhydra_lutris,Eptesicus_fuscus,Equus_asinus,Equus_caballus,Equus_przewalskii,Erinaceus_europaeus,Erythrocebus_patas,Eschrichtius_robustus,Eubalaena_japonica,Eulemur_albifrons,Eulemur_collaris,Eulemur_coronatus,Eulemur_flavifrons,Eulemur_fulvus,Eulemur_macaco,Eulemur_mongoz,Eulemur_rubriventer,Eulemur_rufus,Eulemur_sanfordi,Felis_catus,Felis_catus_fca126,Felis_nigripes,Fukomys_damarensis,Galago_moholi,Galago_senegalensis,Galagoides_demidoff,Galeopterus_variegatus,Giraffa_tippelskirchi,Glis_glis,Gorilla_beringei,Gorilla_gorilla,Graphiurus_murinus,Hapalemur_alaotrensis,Hapalemur_gilberti,Hapalemur_griseus,Hapalemur_meridionalis,Hapalemur_occidentalis,Helogale_parvula,Hemitragus_hylocrius,Heterocephalus_glaber,Heterohyrax_brucei,Hippopotamus_amphibius,Hipposideros_armiger,Hipposideros_galeritus,Homo_sapiens,Hoolock_leuconedys,Hyaena_hyaena,Hydrochoerus_hydrochaeris,Hylobates_abbotti,Hylobates_agilis,Hylobates_klossii,Hylobates_muelleri,Hylobates_pileatus_a,Hylobates_pileatus_b,Hystrix_cristata,Ictidomys_tridecemlineatus,Indri_indri,Inia_geoffrensis,Jaculus_jaculus,Kogia_breviceps,Lagothrix_lagothricha,Lasiurus_borealis,Lemur_catta,Leontocebus_fuscicollis,Leontocebus_illigeri,Leontocebus_nigricollis,Leontopithecus_chrysomelas,Leontopithecus_rosalia,Lepilemur_ankaranensis,Lepilemur_dorsalis,Lepilemur_ruficaudatus,Lepilemur_septentrionalis,Leptonychotes_weddellii,Lepus_americanus,Lipotes_vexillifer,Lophocebus_aterrimus,Loris_lydekkerianus,Loris_tardigradus,Loxodonta_africana,Lycaon_pictus,Macaca_arctoides,Macaca_assamensis,Macaca_cyclopis,Macaca_fascicularis,Macaca_fuscata,Macaca_leonina,Macaca_maura,Macaca_mulatta,Macaca_nemestrina,Macaca_nigra,Macaca_radiata,Macaca_siberu,Macaca_silenus,Macaca_thibetana,Macaca_tonkeana,Macroglossus_sobrinus,Mandrillus_leucophaeus,Mandrillus_sphinx,Manis_javanica,Manis_pentadactyla,Marmota_marmota,Megaderma_lyra,Mellivora_capensis,Meriones_unguiculatus,Mesocricetus_auratus,Mesoplodon_bidens,Mico_argentatus,Mico_humeralifer,Mico_schneideri,Microcebus_murinus,Microgale_talazaci,Micronycteris_hirsuta,Microtus_ochrogaster,Miniopterus_natalensis,Miniopterus_schreibersii,Miopithecus_ogouensis,Mirounga_angustirostris,Mirza_zaza,Monodon_monoceros,Mormoops_blainvillei,Moschus_moschiferus,Mungos_mungo,Murina_feae,Mus_caroli,Mus_musculus,Mus_pahari,Mus_spretus,Muscardinus_avellanarius,Mustela_putorius,Myocastor_coypus,Myotis_brandtii,Myotis_davidii,Myotis_lucifugus,Myotis_myotis,Myrmecophaga_tridactyla,Nannospalax_galili,Nasalis_larvatus,Neomonachus_schauinslandi,Neophocaena_asiaeorientalis,Noctilio_leporinus,Nomascus_annamensis,Nomascus_concolor,Nomascus_gabriellae,Nomascus_siki_a,Nomascus_siki_b,Nyctereutes_procyonoides,Nycticebus_bengalensis,Nycticebus_coucang,Nycticebus_pygmaeus,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus,Odocoileus_virginianus,Okapia_johnstoni,Ondatra_zibethicus,Onychomys_torridus,Orcinus_orca,Orycteropus_afer,Oryctolagus_cuniculus,Otocyon_megalotis,Otolemur_crassicaudatus,Otolemur_garnettii,Ovis_aries,Ovis_canadensis,Pan_paniscus,Pan_troglodytes,Panthera_onca,Panthera_pardus,Panthera_tigris,Pantholops_hodgsonii,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_kindae,Papio_papio,Papio_ursinus,Paradoxurus_hermaphroditus,Perodicticus_ibeanus,Perodicticus_potto,Perognathus_longimembris,Peromyscus_maniculatus,Petromus_typicus,Phocoena_phocoena,Piliocolobus_badius,Piliocolobus_gordonorum,Piliocolobus_kirkii,Piliocolobus_tephrosceles,Pipistrellus_pipistrellus,Pithecia_albicans,Pithecia_chrysocephala,Pithecia_hirsuta,Pithecia_mittermeieri,Pithecia_pissinattii,Pithecia_pithecia,Pithecia_vanzolinii,Platanista_gangetica,Plecturocebus_bernhardi,Plecturocebus_brunneus,Plecturocebus_caligatus,Plecturocebus_cinerascens,Plecturocebus_cupreus,Plecturocebus_dubius,Plecturocebus_grovesi,Plecturocebus_hoffmannsi,Plecturocebus_miltoni,Plecturocebus_moloch,Pongo_abelii,Pongo_pygmaeus,Presbytis_comata,Presbytis_mitrata,Procavia_capensis,Prolemur_simus,Propithecus_coquerelli,Propithecus_coronatus,Propithecus_diadema,Propithecus_edwardsi,Propithecus_perrieri,Propithecus_tattersalli,Propithecus_verreauxi,Psammomys_obesus,Pteronotus_parnellii,Pteronura_brasiliensis,Pteropus_alecto,Pteropus_vampyrus,Puma_concolor,Pygathrix_cinerea,Pygathrix_nigripes_a,Pygathrix_nigripes_b,Rangifer_tarandus,Rattus_norvegicus,Rhinolophus_sinicus,Rhinopithecus_bieti,Rhinopithecus_roxellana,Rhinopithecus_strykeri,Rousettus_aegyptiacus,Saguinus_bicolor,Saguinus_geoffroyi,Saguinus_imperator,Saguinus_inustus,Saguinus_labiatus,Saguinus_midas,Saguinus_mystax,Saguinus_oedipus,Saiga_tatarica,Saimiri_boliviensis,Saimiri_cassiquiarensis,Saimiri_macrodon,Saimiri_oerstedii,Saimiri_sciureus,Saimiri_ustus,Sapajus_apella,Sapajus_macrocephalus,Scalopus_aquaticus,Semnopithecus_entellus,Semnopithecus_hypoleucos,Semnopithecus_johnii,Semnopithecus_priam,Semnopithecus_schistaceus,Semnopithecus_vetulus,Sigmodon_hispidus,Solenodon_paradoxus,Sorex_araneus,Spermophilus_dauricus,Spilogale_gracilis,Suricata_suricatta,Sus_scrofa,Symphalangus_syndactylus,Tadarida_brasiliensis,Tamandua_tetradactyla,Tapirus_indicus,Tapirus_terrestris,Tarsius_lariang,Tarsius_wallacei,Theropithecus_gelada,Thryonomys_swinderianus,Tolypeutes_matacus,Tonatia_saurophila,Trachypithecus_auratus,Trachypithecus_crepusculus,Trachypithecus_cristatus,Trachypithecus_francoisi,Trachypithecus_geei,Trachypithecus_germaini,Trachypithecus_hatinhensis,Trachypithecus_laotum,Trachypithecus_leucocephalus,Trachypithecus_melamera,Trachypithecus_obscurus,Trachypithecus_phayrei,Trachypithecus_pileatus,Tragulus_javanicus,Trichechus_manatus,Tupaia_chinensis,Tupaia_tana,Tursiops_truncatus,Uropsilus_gracilis,Ursus_maritimus,Varecia_rubra,Varecia_variegata,Vicugna_pacos,Vulpes_lagopus,Xerus_inauris,Zalophus_californianus,Zapus_hudsonius,Ziphius_cavirostris
count,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
unique,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AiE0600m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,163.67625688104062,230.78515580121194,153.46284329189967,128.53879243486068,171.62490238862878,195.63018894195557,204.0775542259216,201.99678862796117,194.00413689893836,193.86727742587823,197.49800409990198,199.6478774968316,199.376732153051,193.50026528975528,185.50424528121943,196.7995726360994,193.7396338406731,207.82243944616872,130.98917381903698,140.20699712809395,135.32016648264494,189.24286690880268,182.5365312520195,191.00170951731064,188.22088308895337,187.72365485920625,185.34263603827526,133.7438181428349,152.43278520247515,203.10471332774458,206.64734930150655,203.02131055383126,210.24913588692178,216.098966850954,205.2270111476675,168.04919495302084,160.74225610845235,130.7672712171779,117.67985523448272,143.2488415767166,129.77429375928992,133.4650685857324,132.3263717398924,132.2568348015056,134.34248071558332,198.0957016103408,195.15995642718147,196.42759137995108,195.57627481572783,166.6391661868376,170.97648261575137,164.39253122666304,171.2058938811807,173.87496721043306,174.2851562219508,175.13058307591606,165.83062801641577,120.66532466692088,122.75024682283401,122.19901625198479,112.97563299361394,122.32070670758976,149.98158381265748,150.93585777282712,131.8035551239462,186.0192954680498,158.24646541651558,189.73847481783693,141.0762186471155,132.51354009964894,177.79582552348896,176.80891798524326,180.52292352564194,165.98928746055154,207.72654555825616,199.18740513745473,207.81499725229602,167.40441306604095,140.84369488323432,129.11709210451912,201.5940558770124,209.4199496577769,201.25647850597605,204.654258924372,188.84587719861216,189.79760217666643,191.24709325678208,192.4295930862427,190.32873622108906,178.91410983310027,189.13881077485922,192.62424337162685,194.48597030078653,200.9270994803485,196.9421088274787,195.22232857872464,131.58628677269985,145.67698876998003,148.40374587563906,171.05775628370392,177.83816455392275,170.3768568319433,174.1899234266842,191.86320590972912,159.90186270545516,211.078568093917,211.10900909760426,201.22566265218413,201.70123574313,197.62317531249093,130.700415653341,135.41673873452575,110.28015689990104,183.0231672735775,186.84481741400327,194.75101027769196,173.80033163463364,144.65348090844995,170.1643905920141,158.0803859935087,90.54156709418584,144.86587820333588,152.35686512554398,115.55091908398796,157.58453318651982,175.40451099942712,134.40462022669175,161.73769056095801,125.54964264701408,157.9829955381505,154.64734752037936,145.9167209723417,199.6699356752284,158.94459197100474,142.96574427099804,147.2204130116631,129.93243938333848,150.91334808574004,143.4149338953636,137.06861472129827,146.1043225667056,128.54942654160888,119.104385025361,132.72450763940378,154.0027686287375,156.42789807039148,160.7376237757065,98.61700546870226,190.6644639127395,126.74240469231312,123.12314405862044,171.23990653542916,167.4346950194415,165.21790970073022,171.0969068302828,164.95057739930985,164.139617358937,169.35158303204707,171.97986765468818,170.0703698887544,173.0564070308909,157.96752332238603,157.96752332238603,153.82712568956254,131.94117080464082,148.17593532450053,145.2291492574355,142.83185860689943,175.99861849055566,146.0722569858326,171.48982827803667,192.58542888304763,192.87206652585198,171.87297467624438,171.8896184809067,170.05010717055376,172.84787761463826,167.3672840454999,175.95629411585188,149.8442406654357,136.4111493685666,141.38721098619342,136.97823916463292,151.43848486507636,179.24995579439064,163.63702325259942,189.6840903057771,204.03325501610254,111.85303906132192,165.90057681588564,206.59385209925054,207.01713747136733,208.10771498960602,197.53291410558361,206.59551940244793,177.74605835185343,140.48123017479392,129.17337158147026,181.9783041336957,131.21878985797662,152.20139531528253,133.98969516684022,188.25225611294016,102.8087719749002,178.78098644929767,163.57149429882278,160.61145058800193,154.71999869627115,184.9300090004417,178.3256327124203,168.31456837934613,171.1737198829651,173.66616916656494,170.73156516692217,136.75296194413136,189.23546375947856,121.3945404641768,205.6675747562857,122.47194365894093,121.4831558676327,157.69186181180618,121.0167144151295,200.07531909381643,200.34660528687888,196.97627193787525,195.02979665644037,193.9437378434574,204.5723586082459,196.85307216644293,195.613199374255,194.44756869708795,198.90362254311063,199.53594861311072,194.2326182477614,196.4247554049772,201.19322140076588,193.48419237136844,132.4679583100711,200.24897611842437,201.54143454046803,145.6847311047948,122.37779367671294,127.85545741810516,156.8346730540781,128.01064181327826,186.20161069140713,128.2260873598211,132.30245386852937,169.16359943502087,167.76147200079527,166.2340661497677,159.5087511399213,115.47313768723433,124.72405806709739,169.45771966261023,127.43421338586231,125.1056295282701,196.76617428835706,133.85922373042382,184.3143704358271,116.86955770324248,148.8207096773035,146.82479119300842,144.6215160594267,117.60127095615164,188.64578116991945,220.5491759356331,174.19283280653116,189.5214513540268,147.77571954446682,118.22108337458445,142.92937097829935,144.26251445097083,135.1840779080111,133.92365949294145,144.35096033881695,142.25535391709394,131.2969387278838,184.8098338071039,127.00935784508204,125.16543872216161,126.8138891809127,209.6030900057624,211.5047609385323,210.01240993948545,209.41881045173196,206.0125022775988,132.06426633105565,144.8953809177174,139.69097204769352,125.85311659644631,130.52000458100272,148.9299408512959,136.91095450345207,153.82240982616648,120.34968732385074,130.6173037991805,167.67973597610697,133.3291967616363,131.59922790527344,178.89437998042396,126.84591969540895,151.5288704984328,150.04400376712576,145.12202200118216,139.79819876306198,197.53492781695198,187.52152757083667,186.86154741399426,184.4990241667805,175.9856924169203,126.61552060351666,201.3706526335547,199.6692334343404,196.08922762029323,200.2090846931232,201.36731337098502,189.52615984748388,106.54748312164753,141.18325398950014,141.7552443953122,143.67573377665352,161.84124920648688,207.73417843089396,122.71754953440482,181.13970002006081,185.2375920239617,183.04834155475393,173.13396476296816,163.0217308156629,214.52601679633628,225.80899600421677,209.97324278775386,220.32614088058483,218.32265222773842,217.62685876734116,217.4495219903835,116.54245352745053,194.60742622263285,192.44759624144618,197.87328649969663,205.39419126510623,189.9305370835697,188.56446785085345,195.62548567267027,200.30253606684067,204.8000200496,196.207882011638,198.1141744220958,197.99477097567384,178.13923793680524,178.13693116692937,125.9486039315953,177.21031211404238,194.03827762603754,187.7002321692075,172.72974547217873,175.32015166563147,177.02909531312824,186.36030460806455,194.76973281187173,165.78562528946827,129.7508864231846,130.13724229616287,127.01405369315083,145.97591312492582,154.34291919539945,176.8669016501483,181.49249414836663,181.49124740151797,149.2557810474844,195.3503666134442,165.01993040477532,180.08167750695168,178.79561986642722,178.56819232772372,178.38497828210097,157.7928364697625,154.08489667668056,156.5678768438451,158.3923477285049,162.05950807122613,165.4897947030909,165.13502465977393,151.60736126058237,109.17089539415693,207.5574056541217,199.84706689329693,215.62526332630824,221.4937958016116,215.97644216874062,214.86551297412194,187.55521838805248,187.24167854645665,155.31134448331923,186.99233329997344,180.45811375449685,178.94562555761902,181.06221549651207,185.28605047394248,179.98473689135386,140.84933313201452,174.7548886327184,89.088317268035,134.58351867339184,128.98793414936353,149.94848784278426,158.69659871213594,212.52322954290045,144.189770600375,172.76241733046126,176.49468057295857,172.58592504613512,192.89836207558113,193.36651287359336,190.72370790032784,134.31739271388332,111.69400766316586,144.16178178787234,179.54271510068108,192.06482430065378,182.3929697205039,185.17952680587777,181.96869611740112,181.7841859424816,177.38230534160843,183.8949160575867,180.81496611763453,180.8954965647529,179.0093859223758,186.24105764837827,185.3123707210316,127.40801627495705,143.21957138881962,161.88941902272842,152.37838632920204,138.08049810633943,148.69019837940436,171.10803876203627,203.9867838691261,195.3190390642952,178.35162159975846,122.10663005956172,158.9318828302273,161.5867170936921,173.1364111199098,125.11993525308716
