,donor_label,donor_age,age_at_death_reference_point,donor_species,species_scientific_name,donor_sex,donor_age_value,donor_age_unit,species_genus
count,1,1,1,1,1,1,1.0,1,1
unique,1,1,1,1,1,1,,1,1
top,CJ23.56.004,5.7 yrs,birth,NCBITaxon:9483,Callithrix jacchus,Male,,years,Marmoset
freq,1,1,1,1,1,1,,1,1
mean,,,,,,,5.7,,
std,,,,,,,,,
min,,,,,,,5.7,,
25%,,,,,,,5.7,,
50%,,,,,,,5.7,,
75%,,,,,,,5.7,,
max,,,,,,,5.7,,
