,clusterName,markerGene,score
count,145,145,145.0
unique,60,130,
top,ZI-HTH GABA,ISL1,
freq,5,2,
mean,,,0.6869885690068815
std,,,0.17668647560832293
min,,,0.203045685279187
25%,,,0.591715099039259
50%,,,0.711661593366222
75%,,,0.817525276841598
max,,,0.965632213388048
