,clusterName,markerGene,score
count,8,8,8.0
unique,4,8,
top,Subpallium GABA-Glut,BCL11B,
freq,3,1,
mean,,,0.8097734096947296
std,,,0.1084436313040761
min,,,0.678851874681746
25%,,,0.7527518379283865
50%,,,0.7773851590106
75%,,,0.907023559701803
max,,,0.947377982936084
