,clusterName,markerGene,score
count,2020,2020,2020.0
unique,594,945,
top,Marmoset-1,PENK,
freq,6,19,
mean,,,0.4159604768712871
std,,,0.17121368072025
min,,,0.00657446
25%,,,0.28465347
50%,,,0.41262136
75%,,,0.52840392
max,,,0.90549102
