,clusterName,markerGene,score
count,73,73,73.0
unique,34,71,
top,STR SST GABA,GNG4,
freq,6,2,
mean,,,0.7548740691780821
std,,,0.161634866041575
min,,,0.41666667
25%,,,0.67671491
50%,,,0.80272109
75%,,,0.88054769
max,,,0.9778912
