,coord,dmr_id,hypermethylated_samples,hypomethylated_samples
count,1066980,1066980,514469,1044016
unique,1066980,1066980,93004,140066
top,chr1-20088-20345,marmoset_orig_1,ODC,ODC
freq,1,1,41056,48756
