,clusterName,markerGene,score
count,132,132,132.0
unique,56,113,
top,STR SST-ADARB2 GABA,DRD1,
freq,5,3,
mean,,,0.7054648768939397
std,,,0.13461947954483286
min,,,0.42233717
25%,,,0.59701493
50%,,,0.7256779099999999
75%,,,0.80259027
max,,,0.97376543
