,clusterName,markerGene,score
count,1280,1280,1280.0
unique,388,673,
top,Macaque-200,EBF1,
freq,6,14,
mean,,,0.40731238582031254
std,,,0.18842461508593036
min,,,0.00045595
25%,,,0.26961919
50%,,,0.40181465
75%,,,0.54166667
max,,,0.91297935
