,Unnamed: 0,GLS_t_value_human_v_macaque,adjusted_p_value_human_v_macaque,GLS_t_value_human_v_marmoset,adjusted_p_value_human_v_marmoset,GLS_t_value_human_v_mouse,adjusted_p_value_human_v_mouse,GLS_t_value_macaque_v_marmoset,adjusted_p_value_macaque_v_marmoset,GLS_t_value_macaque_v_mouse,adjusted_p_value_macaque_v_mouse,GLS_t_value_marmoset_v_mouse,adjusted_p_value_marmoset_v_mouse
count,927168.0,927168.0,927168.0,838159.0,838159.0,418687.0,418687.0,759887.0,759887.0,385234.0,385234.0,366048.0,366048.0
mean,463583.5,4.052482538297715,0.3947224624799233,2.7646376233917076,0.6138489747137013,3.6383813640601743,0.47044785113075016,3.3963182497024023,0.510857960185685,3.9280686286581727,0.4396862588028398,4.02812759511358,0.446283464002249
std,267650.4915295319,3.6427913062076147,0.44158699810963625,2.788089233294206,0.4404191041037557,3.914023910131381,0.4505308176401395,4.254329343791119,0.45140335067183507,5.796731877520235,0.44568451253337277,7.08931838454577,0.4490761555018192
min,0.0,-4.4561503228222366,9.488336541130806e-26,-4.761345498591584,2.259841798690039e-19,-3.741630407860796,7.214267726605341e-25,-6.655716592456517,2.543507905977949e-33,-3.610693338355449,7.253365805486986e-33,-3.933762219085888,9.486566460142412e-36
25%,231791.75,1.799965151233299,0.002397250039792025,1.0222543724658584,0.0729323735203127,1.4871240757003519,0.00965817441398635,1.3565520806828824,0.0176885901742126,1.6304600910999263,0.00761459918323105,1.5494735843751313,0.006413765981156225
50%,463583.5,3.2805141579185975,0.11570578994459829,2.199264021176686,1.0,2.8475522647836744,0.2904048942746455,2.6626558782706407,0.4431435299353721,3.001247547081082,0.2099976553354602,2.9755310676725717,0.2195280600199025
75%,695375.25,5.343461726267304,1.0,3.7913151321797463,1.0,4.7184603014225655,1.0,4.437834204495045,1.0,4.845151689330877,1.0,4.905287455189882,1.0
max,927167.0,235.9376560730206,1.0,103.6672014720498,1.0,201.0330768703785,1.0,801.2600431647306,1.0,556.5487686178094,1.0,802.3716041763555,1.0
