,bin1,bin2,loop_id,celltype
count,640388,640388,640388,640388
unique,156457,156178,640388,8291
top,chr10-76420000-76430000,chr10-119300000-119310000,marmoset_union_1,L6_CT
freq,136,124,1,58784
