,clusterName,markerGene,score
count,1511,1511,1511.0
unique,453,793,
top,Human-26,LINC02462,
freq,6,14,
mean,,,0.3893064948906548
std,,,0.1837322606817829
min,,,0.00703987
25%,,,0.26278123744475645
50%,,,0.381595092024539
75%,,,0.512806236080178
max,,,0.870786516853932
