,cell_label,slab_plane_label,x_slab_mm,y_slab_mm
count,5431560,5431560,5431560.0,5431560.0
unique,5431560,19,,
top,1324989690_1-20250227,H22.30.001.CX.17.Plane.05,,
freq,1,763623,,
mean,,,24.60690667094547,74.69664559955488
std,,,7.6497818425500475,8.718062795712386
min,,,7.658133904967573,51.12854045471531
25%,,,18.721488593743413,68.3403189206062
50%,,,24.771242051992527,75.35809132412973
75%,,,29.890032441696313,81.1990773067712
max,,,43.69768291074049,97.63086855349734
