Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
macaque|STRd Cholinergic GABA,human|STR Cholinergic GABA,1,Above_0.8
human|STRv D1 NUDAP MSN,macaque|STRv D1 NUDAP MSN,1,Reciprocal_top_hit
human|SN-VTR GAD2 Dopa,macaque|SN-VTR CALB1 Dopa,1,Above_0.8
human|STR D1D2 Hybrid MSN,marmoset|STR D1D2 Hybrid MSN,1,Reciprocal_top_hit
human|STR SST-RSPO2 GABA,marmoset|STR SST-RSPO2 GABA,1,Reciprocal_top_hit
human|STR LYPD6-RSPO2 GABA,marmoset|STR LYPD6-RSPO2 GABA,0.99,Reciprocal_top_hit
human|SN GATA3-PVALB GABA,marmoset|GPi Core,0.99,Above_0.8
macaque|SN-VTR CALB1 Dopa,marmoset|SN SOX6 Dopa,0.99,Above_0.8
marmoset|SN GATA3-PVALB GABA,human|SN GATA3-PVALB GABA,0.99,Above_0.8
marmoset|SN-VTR CALB1 Dopa,human|SN-VTR CALB1 Dopa,0.99,Above_0.8
macaque|SN-VTR GAD2 Dopa,human|SN-VTR GAD2 Dopa,0.99,Above_0.8
human|GPe SOX6-CTXND1 GABA,marmoset|GPe SOX6-CTXND1 GABA,0.99,Reciprocal_top_hit
human|T cells,macaque|T cells,0.99,Reciprocal_top_hit
marmoset|SN-VTR CALB1 Dopa,macaque|SN-VTR CALB1 Dopa,0.99,Above_0.8
human|STRv D1 NUDAP MSN,marmoset|STRv D1 NUDAP MSN,0.99,Reciprocal_top_hit
human|GPe SOX6-CTXND1 GABA,macaque|GPe SOX6-CTXND1 GABA,0.99,Reciprocal_top_hit
marmoset|GPin-BF Cholinergic GABA,human|STR Cholinergic GABA,0.99,Above_0.8
human|STRd Cholinergic GABA,macaque|STRd Cholinergic GABA,0.99,Above_0.8
macaque|GPi Shell,marmoset|GPi Shell,0.99,Above_0.8
human|GPe MEIS2-SOX6 GABA,marmoset|GPe MEIS2-SOX6 GABA,0.99,Reciprocal_top_hit
human|STRd Cholinergic GABA,marmoset|STRd Cholinergic GABA,0.99,Above_0.8
human|GPi Shell,marmoset|GPi Shell,0.99,Reciprocal_top_hit
human|GPin-BF Cholinergic GABA,macaque|GPin-BF Cholinergic GABA,0.99,Reciprocal_top_hit
human|Endo,marmoset|Endo,0.99,Reciprocal_top_hit
human|SN SEMA5A GABA,marmoset|SN SEMA5A GABA,0.99,Reciprocal_top_hit
macaque|Endo,marmoset|Endo,0.99,Above_0.8
human|SN-VTR-HTH GATA3-TCF7L2 GABA,macaque|SN GATA3-PAX8 GABA,0.99,Reciprocal_top_hit
human|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,marmoset|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,0.99,Reciprocal_top_hit
human|GPe MEIS2-SOX6 GABA,macaque|GPe MEIS2-SOX6 GABA,0.99,Reciprocal_top_hit
macaque|GPe MEIS2-SOX6 GABA,marmoset|GPe MEIS2-SOX6 GABA,0.99,Above_0.8
human|STR-BF TAC3-PLPP4-LHX8 GABA,macaque|STR TAC3-PLPP4 GABA,0.99,Above_0.8
macaque|SN-VTR-HTH GATA3-TCF7L2 GABA,human|SN-VTR-HTH GATA3-TCF7L2 GABA,0.99,Above_0.8
marmoset|STR-BF TAC3-PLPP4-LHX8 GABA,macaque|STR TAC3-PLPP4 GABA,0.99,Above_0.8
human|GPin-BF Cholinergic GABA,marmoset|GPin-BF Cholinergic GABA,0.99,Above_0.8
human|ZI-HTH GABA,macaque|SN GATA3-PAX8 GABA,0.99,Above_0.8
macaque|STR-BF TAC3-PLPP4-LHX8 GABA,marmoset|STR-BF TAC3-PLPP4-LHX8 GABA,0.99,Above_0.8
human|VTR-HTH Glut,macaque|SN-VTR CALB1 Dopa,0.99,Above_0.8
human|OT D1 ICj,marmoset|OT D1 ICj,0.99,Reciprocal_top_hit
human|SN-VTR GAD2 Dopa,marmoset|SN SOX6 Dopa,0.99,Above_0.8
human|Monocyte,macaque|Monocyte,0.99,Reciprocal_top_hit
human|STR-BF TAC3-PLPP4-LHX8 GABA,marmoset|STR-BF TAC3-PLPP4-LHX8 GABA,0.99,Reciprocal_top_hit
human|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,macaque|GPe SOX6-CTXND1 GABA,0.99,Above_0.8
marmoset|SN-VTR GAD2 Dopa,human|SN-VTR GAD2 Dopa,0.99,Above_0.8
macaque|ZI-HTH GABA,human|ZI-HTH GABA,0.99,Above_0.8
macaque|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,marmoset|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,0.99,Above_0.8
macaque|OB Dopa-GABA,marmoset|OB Dopa-GABA,0.98,Above_0.8
human|BF SKOR1 Glut,macaque|SN GATA3-PAX8 GABA,0.98,Above_0.8
macaque|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,human|GPe-NDB-SI LHX6-LHX8-GBX1 GABA,0.98,Above_0.8
human|OB Dopa-GABA,macaque|OB Dopa-GABA,0.98,Reciprocal_top_hit
macaque|BF SKOR1 Glut,human|BF SKOR1 Glut,0.98,Above_0.8
macaque|SN-VTR GAD2 Dopa,marmoset|SN-VTR GAD2 Dopa,0.98,Above_0.8
macaque|STR-BF TAC3-PLPP4-LHX8 GABA,human|STR-BF TAC3-PLPP4-LHX8 GABA,0.98,Above_0.8
