,cell_label,DRD1,DRD2,SLC17A6
count,3255402,3255402.0,3255402.0,3255402.0
unique,3255402,,,
top,1291813781_1-20250227,,,
freq,1,,,
mean,,1.062033784419722,1.1012498206122474,0.2239925146274767
std,,1.8626650618878755,1.753528194084744,0.7227469376135435
min,,0.0,0.0,0.0
25%,,0.0,0.0,0.0
50%,,0.0,0.0,0.0
75%,,1.6224628686904907,1.9204896688461304,0.0
max,,9.967226028442385,9.967226028442385,9.967226028442385
