,min_x,max_x,min_y,max_y,width,height
count,1.0,1.0,1.0,1.0,1.0,1.0
mean,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
std,,,,,,
min,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
25%,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
50%,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
75%,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
max,5.265896318418525,44.42194671162409,51.127625113456254,101.12454026049129,39.15605039320556,49.99691514703502
