,clusterName,markerGene,score
count,7,7,7.0
unique,4,7,
top,Subpallium GABA-Glut,LOC103790014,
freq,3,1,
mean,,,0.868733797142857
std,,,0.04381091565062966
min,,,0.82497938
25%,,,0.841383595
50%,,,0.85778781
75%,,,0.89006192
max,,,0.93547836
