,cell_label,Basal ganglia and adjacent,STR,GP,GPe,GPi,VeP,SN,STH,parcellation_term_symbol
count,3255402,3255402,3255402,3255402,3255402,3255402,3255402,3255402,3255402,3255402
unique,3255402,1,2,1,2,2,2,2,2,7
top,1291813781_1-20250227,True,True,False,False,False,False,False,False,STR
freq,1,3255402,1804046,3255402,3093271,3207203,3244219,3212520,3220141,1802268
