,clusterName,markerGene,score
count,8,8,8.0
unique,4,8,
top,Subpallium GABA-Glut,SLC1A3,
freq,3,1,
mean,,,0.8330162061403368
std,,,0.1038496890015752
min,,,0.695570903561018
25%,,,0.7851512550790332
50%,,,0.815011372251705
75%,,,0.9293553531556931
max,,,0.953287952622772
