,label,table,field,description,order,external_identifier,parent_label,color_hex_triplet
count,44,44,44,44,44.0,40,27,44
unique,38,3,8,38,,34,8,31
top,GP,library,region_of_interest_label,globus pallidus,,DHBA:10342,Basal ganglia and adjacent,#FF5F5D
freq,2,23,20,2,,2,7,3
mean,,,,,6.545454545454546,,,
std,,,,,5.588420525929489,,,
min,,,,,1.0,,,
25%,,,,,2.0,,,
50%,,,,,5.0,,,
75%,,,,,9.25,,,
max,,,,,20.0,,,
