,clusterName,markerGene,score
count,23,23,23.0
unique,12,23,
top,F M GABA,BCAS1,
freq,3,1,
mean,,,0.7666402521513014
std,,,0.14148706189958826
min,,,0.446549391069012
25%,,,0.68581081081081
50%,,,0.791057609630266
75%,,,0.852615418357276
max,,,0.947368746445087
