,label,table,field,description,order,external_identifier,parent_label,color_hex_triplet
count,49,49,49,49,49.0,45,27,49
unique,41,3,8,41,,37,8,33
top,Ca,library,region_of_interest_label,caudate nucleus,,DHBA:10334,Basal ganglia and adjacent,#FF5F5D
freq,2,23,20,2,,2,7,3
mean,,,,,7.0,,,
std,,,,,5.481027884135116,,,
min,,,,,1.0,,,
25%,,,,,2.0,,,
50%,,,,,5.0,,,
75%,,,,,11.0,,,
max,,,,,20.0,,,
