,clusterName,markerGene,score
count,75,75,75.0
unique,36,75,
top,CN MEIS2 GABA,MOBP,
freq,4,1,
mean,,,0.7603719850666666
std,,,0.16595178056866905
min,,,0.31832535
25%,,,0.6962425
50%,,,0.80422421
75%,,,0.879730755
max,,,0.96563221
