,coord,dmr_id,hypermethylated_samples,hypomethylated_samples
count,1661598,1661598,786269,1634728
unique,1661598,1661598,90943,198920
top,1-10708-10799,macaque_orig_1,ODC,MG
freq,1,1,180098,159126
