,clusterName,markerGene,score
count,23,23,23.0
unique,12,23,
top,F M GABA,C12H10orf90,
freq,3,1,
mean,,,0.7743775434782608
std,,,0.18079496970351547
min,,,0.39267016
25%,,,0.70176231
50%,,,0.85778781
75%,,,0.86166998
max,,,0.97516891
