,clusterName,markerGene,score
count,68,68,68.0
unique,35,66,
top,STR SST GABA,SST,
freq,3,2,
mean,,,0.7845381769110134
std,,,0.15338969002639993
min,,,0.403833135894398
25%,,,0.672967595224559
50%,,,0.832498209717971
75%,,,0.91660833041652
max,,,0.976438790346776
