,clusterName,markerGene,score
count,24,24,24.0
unique,12,24,
top,CN GABA-Glut,LOC114676231,
freq,3,1,
mean,,,0.8163481646024485
std,,,0.15242859145187101
min,,,0.558441558441558
25%,,,0.7534152836774335
50%,,,0.8371844072633761
75%,,,0.9558828510064328
max,,,0.970876239716251
