,coord,dmr_id,hypermethylated_samples,hypomethylated_samples
count,1748945,1748945,1280955,1738955
unique,1748945,1748945,165784,247545
top,chr1-3003640-3003885,mouse_orig_1,L23,MG
freq,1,1,207703,83494
