,brain_section_label,brain_section_barcode
count,3255402,3255402.0
unique,86,
top,QM23.50.001.CX.44.03.05.02,
freq,109664,
mean,,1293040558.7915115
std,,11551278.99584243
min,,1291809799.0
25%,,1291812310.0
50%,,1291813811.0
75%,,1291815483.0
max,,1401811732.0
