,gene_identifier,gene_symbol,description,molecular_type
count,16630,16630,16630,16630
unique,16630,16630,16630,6
top,NCBIGene:9380,GRHPR,glyoxylate and hydroxypyruvate reductase,protein-coding
freq,1,1,1,16604
