,chr1,933789,934269,Micro1
count,31606,31606.0,31606.0,31606
unique,22,,,2
top,chr1,,,Micro1
freq,2858,,,23579
mean,,77351132.94934507,77351536.89413403,
std,,57181486.41323074,57181482.34265531,
min,,32918.0,33530.0,
25%,,31079620.5,31080656.5,
50%,,66916936.0,66917630.5,
75%,,115867083.25,115867264.25,
max,,248863736.0,248863941.0,
