,cell_label,Basal ganglia and adjacent,STR,GP,GPe,GPi,VeP,SN,STH,parcellation_term_symbol
count,1355089,1355089,1355089,1355089,1355089,1355089,1355089,1355089,1355089,1355089
unique,1355089,1,2,2,2,2,2,2,2,8
top,1382042951_abmkfncc-1-20250227,True,True,False,False,False,False,False,False,STR
freq,1,1355089,920037,1258095,1289237,1322692,1342508,1314359,1347600,917293
